step,lyap_E,mse,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,heat_removed,TV
59,0.0,0.0,29.676798458756167,27.31013388837016,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,29.719496254887233,27.315296493338415,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,29.762134936249332,27.320458854717376,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,29.804714669217514,27.32562097094882,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,29.847235619454715,27.330782840483916,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,29.889697951915895,27.335944461782997,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,29.932101830852126,27.34110583331536,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,29.974447419814663,27.346266953559052,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,30.016734881658973,27.351427821000684,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,30.058964378548758,27.356588434135222,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,30.101136071959914,27.36174879146586,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,30.1432501226845,27.366908891503815,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,30.185306690834633,27.372068732768156,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,30.227305935846417,27.377228313785665,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,30.269248016483772,27.382387633090698,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,30.31113309084229,27.38754668922501,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,30.35296131635304,27.392705480737646,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,30.39473284978634,27.397864006184776,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,30.436447847255536,27.403022264129604,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,30.4781064642207,27.4081802531422,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,30.519708855492354,27.413337971799443,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,30.56125517523512,27.418495418684838,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,30.602745576971405,27.42365259238843,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,30.644180213584974,27.428809491506737,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,30.685559237324597,27.433966114642594,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,30.726882799807587,27.439122460405063,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,30.768151052023352,27.44427852740938,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,30.809364144336918,27.449434314276797,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,30.850522226492433,27.45458981963453,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,30.891625447616622,27.459745042115696,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,30.932673956222242,27.46489998035917,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,30.973667900211506,27.47005463300955,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,31.014607426879476,27.475208998717054,0.0,0.0,0.0,0.0,0.0
