step,mse_to_target,mean_control,smoothness,total_variation,max_field,energy_proxy
0,0.012098419886832967,0.03951192789960114,5.201727417781805,0.0527295570457445,0.08021568868393873,0.039511927899601146
1,0.01206232787406408,0.03949111368811066,5.091319204283757,0.052037591216652836,0.0804790805623011,0.03949111368811066
2,0.012026575812870276,0.039470321955968585,4.983617677831621,0.05135683246655156,0.08084563784203816,0.039470321955968585
3,0.011991155568896282,0.03944955267889723,4.878550859906306,0.05068693285691832,0.08129766946134792,0.03944955267889723
4,0.011956059251296348,0.039428805832645096,4.776048820337308,0.05002741777006589,0.08191481297561352,0.0394288058326451
5,0.011921279204955596,0.03940808139298693,4.676043616110092,0.049377932267169765,0.0825363402959331,0.03940808139298694
6,0.011886808002969795,0.039387379335723595,4.578469232071033,0.04873887068967543,0.08316216406968883,0.0393873793357236
7,0.011852638439374783,0.0393666996366821,4.483261523469277,0.04811028570682853,0.08379219841758824,0.0393666996366821
8,0.011818763522116955,0.03934604227171557,4.390358160276883,0.04749153579378271,0.08442635890915834,0.03934604227171557
9,0.011785176466256595,0.039325407216703204,4.299698573230567,0.0468823166984757,0.08506456253863678,0.03932540721670321
10,0.011751870687396136,0.039304794447550265,4.211223901540146,0.04628263092140275,0.08570672770125376,0.039304794447550265
11,0.011718839795325639,0.039284203940187994,4.124876942210663,0.04569260022612745,0.08635277416989842,0.039284203940188
12,0.011686077587878103,0.03926363567057367,4.04060210092681,0.04511211805880702,0.08700262307216411,0.03926363567057367
13,0.011653578044987501,0.039243089614690536,3.958345344450024,0.04454072722730999,0.08765619686776607,0.039243089614690536
14,0.011621335322942567,0.039222565748547766,3.878054154480189,0.043978131367026226,0.08831341932632623,0.039222565748547766
15,0.011589343748829764,0.03920206404818042,3.7996774829354742,0.043424257043698865,0.08897421550551896,0.03920206404818042
16,0.011557597815158945,0.03918158448964947,3.723165708605346,0.042878951339625666,0.08963851172957232,0.03918158448964947
17,0.01152609217466557,0.03916112704904173,3.6484705951332317,0.04234206433192689,0.09030623556811929,0.03916112704904173
18,0.011494821635283424,0.03914069170246986,3.5755452502867744,0.04181345202987995,0.09097731581539317,0.039140691702469865
19,0.011463781155282118,0.039120278426072276,3.504344086474915,0.04129254153381333,0.09165168246976224,0.039120278426072276
20,0.011432965838563774,0.039099887196013206,3.4348227824724358,0.04077947494039623,0.09232926671359779,0.03909988719601321
21,0.011402370930113512,0.03907951798848261,3.366938246313819,0.04027411459910289,0.09301000089347075,0.03907951798848261
22,0.011371991811598542,0.03905917077969613,3.3006485793195344,0.03977670055737542,0.09369381850067152,0.03905917077969613
23,0.011341823997110851,0.03903884554589514,3.2359130412190753,0.03928691998056881,0.09438065415204777,0.039038845545895144
24,0.01131186312904864,0.03901854226334666,3.1726920163361676,0.03880467320911299,0.09507044357115564,0.03901854226334666
25,0.011282104974131835,0.03899826090834334,3.110946980802776,0.038329650808393165,0.09576312356971887,0.03899826090834334
26,0.011252545419547164,0.03897800145720341,3.0506404707695243,0.03786200225960562,0.09645863202939141,0.03897800145720341
27,0.011223180469218422,0.03895776388627072,2.9917360515812477,0.037401452580452146,0.09715690788381844,0.03895776388627073
28,0.011194006240197766,0.03893754817191464,2.9341982878873907,0.03694817616261567,0.09785789110099129,0.03893754817191464
29,0.011165018959173899,0.03891735429053006,2.877992714657925,0.036501780461878644,0.0985615226658915,0.03891735429053006
30,0.011136214959093322,0.03889718221853738,2.823085809076432,0.036061876127389605,0.09926774456341937,0.03889718221853738
31,0.01110759067589076,0.03887703193238244,2.769444963282883,0.03562867358125589,0.09997649976160275,0.03887703193238244
32,0.011079142645325186,0.03885690340853655,2.7170384579395526,0.035201932776141184,0.10068773219508126,0.03885690340853655
33,0.011050867499917892,0.03883679662349642,2.665835436594347,0.034781672937200234,0.10140138674886195,0.03883679662349643
34,0.011022761965989157,0.03881671155378413,2.615805880816645,0.03436793174038448,0.10211740924234182,0.03881671155378413
35,0.010994822860790288,0.038796648175947135,2.5669205860815723,0.03396013893917023,0.10283574641359303,0.038796648175947135
36,0.010967047089727788,0.0387766064665582,2.519151138379377,0.03355821400768952,0.10355634590390676,0.0387766064665582
37,0.010939431643676632,0.0387565864022154,2.4724698915273415,0.0331623995019186,0.10427915624259139,0.0387565864022154
38,0.010911973596379654,0.0387365879595421,2.42684994516237,0.03277259497323902,0.10500412683202107,0.0387365879595421
39,0.010884670101930175,0.038716611115186886,2.3822651233931125,0.03238845789773638,0.10573120793293074,0.038716611115186886
40,0.01085751839233517,0.03869665584582357,2.33868995409114,0.03201014313573962,0.10646035064995357,0.03869665584582357
41,0.010830515775156207,0.03867672212815117,2.296099648801351,0.031637510512154174,0.10719150691739698,0.03867672212815117
42,0.010803659631225643,0.038656809938893845,2.254470083252431,0.031270560555853116,0.10792462948525348,0.038656809938893845
43,0.01077694741243557,0.03863691925480093,2.213777778448769,0.030909118473168726,0.10865967190544251,0.038636919254800936
44,0.010750376639597102,0.03861705005264683,2.1739998823258673,0.03055274468743872,0.10939658851827969,0.03861705005264684
45,0.01072394490036767,0.03859720230923106,2.135114151951819,0.030201782730019736,0.1101353344391697,0.03859720230923106
46,0.010697649847244091,0.03857737600137817,2.097098936258002,0.029855849722742953,0.11087586554551938,0.03857737600137817
47,0.01067148919561924,0.03855757110593778,2.0599331592826613,0.02951504916619592,0.11161813846386737,0.03855757110593778
48,0.010645460721900223,0.03853778759978445,2.023596303911589,0.029179177192189508,0.11236211055722688,0.038537787599784455
49,0.010619562261686009,0.03851802545981777,1.9880683961005834,0.028848442888983063,0.11310773991263826,0.03851802545981777
50,0.010593791708002629,0.038498284662962255,1.9533299895648837,0.028522828946162045,0.11385498532892786,0.038498284662962255
51,0.010568147009593961,0.038478565186167345,1.9193621509212309,0.02820189212699813,0.11460380630466994,0.038478565186167345
52,0.010542626169266364,0.03845886700640737,1.8861464452686592,0.027885720135750393,0.1153541630263484,0.038458867006407375
53,0.010517227242285312,0.03843919010068154,1.8536649221945656,0.02757404053991263,0.11610601635671504,0.03843919010068154
54,0.01049194833482241,0.03841953444601389,1.8219001021930343,0.02726685921860339,0.11685932782334123,0.0384195344460139
55,0.010466787602451072,0.03839990001945327,1.7908349634827967,0.02696405717437588,0.11761405960735992,0.03839990001945328
56,0.010441743248689307,0.03838028679807336,1.7604529292126065,0.02666573697522586,0.11837017453239489,0.038380286798073364
57,0.010416813523588095,0.03836069475897253,1.7307378550422026,0.026371690674766704,0.1191276360536741,0.03836069475897253
58,0.010391996722363798,0.03834112387927392,1.701674017087399,0.026082081110400314,0.11988640824732448,0.03834112387927393
59,0.010367291184073237,0.038321574136125386,1.673246100218195,0.025796932543757,0.12064645579984487,0.03832157413612539
60,0.01034269529033004,0.03830204550669947,1.6454391866991718,0.025516008194234996,0.12140774399775449,0.03830204550669947
61,0.010318207464060867,0.03828253796819332,1.6182387451617437,0.02523920554139996,0.12217023871741402,0.03828253796819332
62,0.010293826168300286,0.038263051497828764,1.591630619898195,0.02496624378838861,0.12293390641501645,0.038263051497828764
63,0.010269549905023012,0.03824358607285219,1.5656010204677264,0.024697183177790124,0.12369871411674507,0.03824358607285219
64,0.010245377214012273,0.038224141670534596,1.5401365116050492,0.024432044465799684,0.12446462940909582,0.038224141670534596
65,0.01022130667176321,0.03820471826817151,1.5152240034223599,0.024170767548050344,0.12523162042936126,0.03820471826817151
66,0.010197336890420097,0.038185315843082976,1.4908507418958235,0.023913308360983036,0.12599965585627376,0.038185315843082976
67,0.010173466516746334,0.03816593437261353,1.4670042996279509,0.023659598119042155,0.12676870490080513,0.03816593437261353
68,0.010149694231126162,0.0381465738341322,1.4436725668775503,0.02340982632084857,0.12753873729712017,0.0381465738341322
69,0.01012601874659704,0.038127234205032424,1.4208437428491725,0.023163531757591893,0.12830972329368182,0.038127234205032424
70,0.010102438807911748,0.03810791546273207,1.3985063272342293,0.0229206991504131,0.1290816336445052,0.038107915462732074
71,0.010078953190629212,0.03808861758467341,1.3766491119962112,0.02268122233114144,0.12985443960055834,0.03808861758467342
72,0.010055560700233161,0.03806934054832305,1.3552611733926585,0.02244521528840413,0.13062811290130702,0.038069340548323054
73,0.01003226017127773,0.03805008433117195,1.3343318642267783,0.022212530739000307,0.1314026257664015,0.038050084331171956
74,0.0100090504665591,0.03803084891073536,1.3138508063218064,0.021983237831615866,0.13217795088750284,0.03803084891073537
75,0.00998593047631241,0.03801163426455286,1.2938078832114461,0.021757418344212853,0.1329540614202465,0.03801163426455286
76,0.009962899117433074,0.03799244037018824,1.2741932330399053,0.021534980675557553,0.13373093097634084,0.03799244037018824
77,0.00993995533272175,0.03797326720522952,1.2549972416652635,0.021315805255115637,0.13450853361579868,0.03797326720522952
78,0.009917098090152222,0.03795411474728895,1.2362105359600943,0.021099748295585526,0.13528684383929926,0.03795411474728896
79,0.009894326382161443,0.037934982974002975,1.2178239773034534,0.020886830927006862,0.13606583658067906,0.037934982974002975
80,0.00987163922496104,0.03791587186303214,1.1998286552585231,0.02067712267534933,0.13684548719954867,0.03791587186303214
81,0.00984903565786958,0.037896781392061145,1.1822158814303887,0.02047035287431479,0.1376257714740344,0.037896781392061145
82,0.009826514742665035,0.03787771153879881,1.164977183498581,0.020266374136608284,0.13840666559364195,0.03787771153879882
83,0.009804075562956628,0.03785866228097799,1.1481042994191963,0.02006520872568554,0.1391881461522405,0.03785866228097799
84,0.009781717223575648,0.03783963359635562,1.1315891717915536,0.019866856590344567,0.1399701901411652,0.03783963359635562
85,0.009759438849984465,0.03782062546271264,1.1154239423845125,0.01967144360808616,0.14075277494243602,0.03782062546271264
86,0.009737239587703304,0.03780163785785401,1.0996009468177241,0.019478914802695924,0.14153587832209105,0.03780163785785401
87,0.009715118601754117,0.03778267075960861,1.084112709393224,0.01928897363876334,0.14231947842363266,0.037782670759608616
88,0.009693075076121086,0.037763724145829326,1.0689519380729295,0.01910167792381403,0.14310355376158415,0.037763724145829326
89,0.00967110821322717,0.03774479799439292,1.0541115195977329,0.018916934992110057,0.1438880832151556,0.03774479799439292
90,0.00964921723342629,0.03772589228320006,1.0395845147440081,0.018734711314220942,0.1446730460220166,0.03772589228320006
91,0.009627401374510536,0.03770700699017528,1.0253641537134928,0.01855495510175505,0.14545842177217486,0.03770700699017528
92,0.009605659891232035,0.037688142093266985,1.0114438316526135,0.01837753285451646,0.14624419040195785,0.037688142093266985
93,0.00958399205483895,0.037669297570447347,0.9978171042974545,0.01820276496581001,0.14703033218809705,0.037669297570447347
94,0.009562397152625225,0.03765047339971235,0.9844776837406762,0.018030681545608704,0.147816827741912,0.03765047339971235
95,0.009540874487493588,0.03763166955908175,0.9714194343168127,0.017860915763219007,0.14860365800359324,0.03763166955908175
