step,tracking_mse,mean_control,target_mean
0,0.010072961911474037,0.039509475669873145,0.017968926771381826
1,0.010044138253446199,0.03948621493338531,0.017971756699662927
2,0.010015702189848052,0.03946298317055704,0.017975323425717768
3,0.009987586826687362,0.039439780830350116,0.017979334830821977
4,0.009960088589300621,0.03941660676068614,0.01798230891925538
5,0.009933098217874893,0.03939346215429907,0.017986415661556565
6,0.009906602943186122,0.03937034645287822,0.017990034912758166
7,0.009880458428691523,0.03934726034642998,0.01799432196376468
8,0.009854808187287288,0.03932420278777857,0.017997669002539834
9,0.009829685140461059,0.03930117270462553,0.018000051720143715
10,0.009805040579102671,0.03927817015236781,0.018002513206739637
11,0.009780862470934643,0.03925519488464378,0.01800477411160276
12,0.0097568379162349,0.03923224904453519,0.018009046635950085
13,0.009733003770468302,0.039209334334641924,0.018014925069283302
14,0.009709504003829528,0.039186451890055096,0.01802188564313595
15,0.009686518674534189,0.03916360000500074,0.01802729906194961
16,0.009664006343475836,0.0391407787285889,0.018032788512551173
17,0.009642003722460057,0.039117987316443725,0.018037619334911364
18,0.009620449060922078,0.03909522671548094,0.018043356795352038
19,0.009599316115907763,0.0390724974095039,0.018049573033029374
20,0.009578669690706318,0.03904979871440229,0.01805518713024343
21,0.009558440726647867,0.03902713118613742,0.018061346617291012
22,0.009538596556452249,0.039004494502900715,0.01806723930030239
23,0.009518994982879149,0.038981889786764375,0.01807420178407109
24,0.009499896145640849,0.03895931529016198,0.018079578117881516
25,0.009481197586912885,0.03893677057076602,0.018084575108718106
26,0.00946290229294264,0.03891425413595764,0.018088219822255728
27,0.009444862472933527,0.03889176761526673,0.018093401644375156
28,0.009427046607459582,0.03886931242647188,0.018099926138561345
29,0.009409270797085855,0.0388468925703026,0.018110186343804402
30,0.009391980382620627,0.038824506339930454,0.018118901484975223
31,0.009375024009392054,0.03880215433319251,0.018128203804807303
32,0.009358460228415301,0.03877983515620571,0.018136249715784983
33,0.009342237724839683,0.03875754817424012,0.01814374074361296
34,0.009326263994188028,0.03873529427776058,0.018152088470969014
35,0.009310602963517186,0.0387130735075978,0.01816050709000075
36,0.009295332132865777,0.03869088537572629,0.018168506959899907
37,0.00928035057800272,0.03866873019622632,0.018176830283153672
38,0.009265551273553527,0.03864660916932241,0.01818629787779931
39,0.00925111077748402,0.038624522123747576,0.018195641044479096
40,0.009237076163633808,0.03860246800913858,0.018204045633941075
41,0.009223568070767239,0.038580443910079296,0.01820978369497479
42,0.009210554711136501,0.03855844751737009,0.01821341362378131
43,0.009197765250641664,0.038536479696403454,0.018217872548265884
44,0.00918485894361838,0.038514545120281886,0.018226686991244183
45,0.009171915038476785,0.038492646564322414,0.018238104417065196
46,0.009159406935922468,0.03847078170930455,0.018247410436674417
47,0.009147108948698373,0.038448950893682395,0.018257063540640273
48,0.00913512594676879,0.03842715337822965,0.01826606621522329
49,0.009123517121503387,0.03840538775493646,0.01827379847712725
50,0.009111972904039612,0.038383656064467364,0.018283452135399177
51,0.009100829474965624,0.038361956762899385,0.01829171016818596
52,0.0090899073701309,0.0383402908624783,0.01830093785449619
53,0.009079243550323616,0.038318658428840136,0.018310259716017067
54,0.009068932750388439,0.03829705812740459,0.018318379321852662
55,0.009058838980074481,0.03827549017568212,0.018326732458462044
56,0.009049121062804017,0.03825395363294527,0.01833424690082428
57,0.009039508952115744,0.03823244906854384,0.018342319927910144
58,0.009030036281710186,0.03821097737099624,0.018351247635586838
59,0.009020909468959457,0.038189537052098675,0.018358830243623378
60,0.009011756787509522,0.038168129768397896,0.018367978069884994
61,0.009002509011120166,0.0381467585594705,0.01837997335414343
62,0.008993252120981862,0.038125425573543155,0.018393993811929018
63,0.008984340208519546,0.038104130596048114,0.018407853818876985
64,0.008975855353182864,0.03808287177952478,0.01842004122259024
65,0.008967727173379124,0.03806164761044922,0.018430863376228648
66,0.008959845523862755,0.03804045781922427,0.01844147055031247
67,0.008952250628559725,0.03801930154841072,0.01845131817704316
68,0.008944869853447225,0.037998178617914935,0.01846103257083666
69,0.008937666705309282,0.03797708935717466,0.018471085339880806
70,0.008930777088931391,0.03795603220707403,0.018479728152890517
71,0.00892400376047397,0.037935008523854154,0.018489658855334552
72,0.008917535199242155,0.03791401756644314,0.018498936846983345
73,0.008911214339678793,0.03789306076251875,0.01850956948830951
74,0.008905269329501343,0.037872136326455974,0.01851858292661592
75,0.00889938239736171,0.03785124534442877,0.01852863444941958
76,0.00889360701712865,0.03783038789350861,0.018538790788714805
77,0.008887934897660892,0.03780956448373901,0.01854945292166692
78,0.00888219705825585,0.03778877718705704,0.018562067555992736
79,0.00887647217304383,0.037768027791235746,0.018576373648809968
80,0.00887088353838342,0.03774731642446723,0.01859083633890822
81,0.008865631782051962,0.037726641823816826,0.018604167674090392
82,0.008860578372987106,0.0377060034020899,0.018616992076666658
83,0.00885575080661652,0.0376853997347426,0.01862853363607294
84,0.008851249839862484,0.03766482849252968,0.018637953241294792
85,0.00884704569281972,0.03764428880227375,0.018646596774077588
86,0.008842927957065403,0.037623781122335026,0.01865569626641446
87,0.00883880708876611,0.03760330707883989,0.01866633344166548
88,0.008834651701472384,0.03758286819396966,0.018678413680469207
89,0.00883054126211097,0.037562465405711,0.01869139758410372
90,0.00882654103065191,0.03754209929725355,0.018704957574731656
91,0.00882283446012258,0.0375217678534028,0.018716688324338718
92,0.00881943362044822,0.03750146841693384,0.018725993345100743
93,0.008816091852270315,0.03748120214407078,0.018736400951146252
94,0.008812844403262776,0.03746096913586488,0.01874693528675166
95,0.008809741266898924,0.03744076967583461,0.018757765404140606
96,0.008806841255631116,0.03742060277153789,0.01876771014183506
97,0.008804101925591513,0.03740046844810273,0.018777710701943572
98,0.008801425189679158,0.03738036685460552,0.01878788187661421
99,0.008798755630205508,0.037360298590002027,0.01879864036988645
100,0.008796092234015625,0.03734026538597024,0.018811035597612387
101,0.008793575522251896,0.037320266563074925,0.018822836779196116
102,0.008791085867571996,0.03730030344004386,0.01883589338616362
103,0.008788784241689348,0.037280375544210015,0.01884854803833141
104,0.008786592438979607,0.037260483699856836,0.018862001143120546
105,0.008784330592407488,0.037240629645080334,0.018877099647535797
106,0.008782274271609939,0.03722081196139046,0.01889092252482364
107,0.008780405651777592,0.037201029588058966,0.018903799617420027
108,0.008778779695494253,0.037181281408031265,0.018915677710552744
109,0.008777370144575044,0.03716156640929927,0.018926652952480316
110,0.008776136979531775,0.03714188344198746,0.018936596676149244
111,0.008775090744338201,0.03712223090907125,0.018945093704754525
112,0.008774213107375254,0.037102607977138005,0.018952849489401628
113,0.008773503961194045,0.037083013357797914,0.01895944192149806
114,0.008772828689978775,0.0370634474257833,0.018966409640555966
115,0.008771858417778005,0.037043913530867514,0.01897650768894834
116,0.008770760254457713,0.03702441425130204,0.018989025044318538
117,0.008769616872262772,0.03700495188126594,0.019003701254916978
118,0.008768394968440636,0.0369855278355982,0.019019724411137962
119,0.008767344691898077,0.03696614110068559,0.01903484736095939
120,0.008766421793588655,0.036946790599921245,0.019049010763322643
121,0.008765594973052298,0.0369274754298075,0.019062373827940172
122,0.008764953250016212,0.036908194552569704,0.019074811320734252
123,0.008764252406726502,0.036888948419378086,0.019087700856624805
124,0.008763643878725198,0.03686973704520691,0.019100639001619884
125,0.008763281381401549,0.036850558360143004,0.01911169531937077
126,0.008763100452794872,0.03683141168997577,0.019122160057146287
127,0.008763013684251588,0.036812296105929544,0.01913179683235912
128,0.008762960595350772,0.03679321117482043,0.01914106359748988
129,0.00876293113376871,0.03677415694795181,0.019150408518699907
130,0.008762758424946717,0.03675513598482621,0.01916215405387497
131,0.008762465399399387,0.03673615089154355,0.019176345908286062
132,0.008762216546898315,0.03671720119571608,0.019190136236482105
133,0.00876208011128839,0.036698285892477665,0.019203031530511103
134,0.008762220482662997,0.03667940215377825,0.01921334265227274
135,0.008762384918213401,0.03666054975000395,0.01922347273313308
136,0.00876269236895821,0.03664172819274635,0.0192331819189018
137,0.008763031175176643,0.03662293889144386,0.019244226986728428
138,0.008763514023505212,0.03660418103884652,0.019254556856874577
139,0.008764032860561875,0.036585454163224965,0.0192644813892615
140,0.008764562077469463,0.036566758408270165,0.019274569945810633
141,0.008764982432197116,0.03654809529271525,0.01928609585742493
142,0.008765451096779491,0.03652946424535834,0.019297125517801147
143,0.008765662417699275,0.036510868213827714,0.019310916531812532
144,0.008765804545544213,0.03649230797598464,0.019325462803575773
145,0.008766000405084122,0.036473782797811626,0.019339365223196216
146,0.008766200416244478,0.03645529196706022,0.019352643213174724
147,0.008766374189091543,0.03643683634587033,0.019366753828274106
148,0.008766756275013688,0.036418414434159725,0.019379510687899937
149,0.00876700065544362,0.03640002743684726,0.01939341692262562
150,0.00876719967721098,0.03638167492099915,0.019406957207108194
151,0.008767534072884532,0.03636335594713568,0.01941966208445878
152,0.008767958214216809,0.03634506974241776,0.019431684912023888
153,0.0087684721539285,0.036326815790701475,0.019443262597707827
154,0.008769197045892541,0.03630859196679518,0.019452904766356804
155,0.008769936544864585,0.03629039743559859,0.019461803821798775
156,0.00877041488598301,0.03627223451004298,0.019472873772999204
157,0.008770786721487749,0.0362541041561103,0.019484869757564326
158,0.00877096197974843,0.03623600798765174,0.01949839262040047
159,0.00877131950701688,0.03621794394695662,0.019510044381056992
160,0.008771663722428463,0.03619991177453865,0.0195214880043954
161,0.008771936038272265,0.0361819124187759,0.01953384162383832
162,0.008772242448622871,0.03616394631207129,0.019546628433034247
163,0.00877261598680518,0.036146012779021956,0.019558823118234408
164,0.008773049876618758,0.0361281114697444,0.01957072641092177
165,0.008773512148314722,0.03611024279489206,0.019583042162023362
166,0.008774026849144832,0.03609240658446873,0.019595233143655518
167,0.008774560773454385,0.036074602647501376,0.019607279762854164
168,0.008775254557634872,0.036056829199976194,0.019617706790842716
169,0.008775811974103515,0.03603908729289845,0.019629137461335166
170,0.00877628915776122,0.036021376675861715,0.019640367814435074
171,0.008776625217924154,0.036003697679273396,0.019651935390379738
172,0.008776925583054708,0.03598605105241461,0.019664228365583753
173,0.008777117227670696,0.03596843780855038,0.019677491918868216
