Method,Final T_max [C],Overheat [%],Mean ctrl effort,Final MI,Final TV,Decision loss
Fixed-clean VIFD,54.082826613804215,7.430000000000001,0.0007871473984993288,0.30084252689949076,0.0015806410600231694,1.6143945989283137
Adaptive-clean VIFD,54.08754784861205,7.430000000000001,0.0007861751451986265,0.3006968022296248,0.001579004914644844,1.6157948998349885
Fixed-uncertain VIFD,54.670284923928826,7.08,0.007115661094107982,0.23018526013708968,0.010570716989608417,1.6896188726086216
Adaptive-uncertain VIFD,54.67525562991081,7.08,0.007115025363561011,0.23034502702491133,0.010558680340960941,1.6908853506256518
RF surrogate controller,53.37208553318914,7.4399999999999995,0.0007792014998166265,0.2727194327382491,0.0018880423822248108,
