step,s2_num,s2_ana,max
0,0.0006481515491616506,1.92e-06,0.027777777777777776
1,0.0006501105329388163,3.84e-06,0.027777777777777776
2,0.0006520695167159819,5.76e-06,0.027777771633777776
3,0.0006540285004931473,7.68e-06,0.027777753378724977
4,0.000655987484270313,9.6e-06,0.027777717218691718
5,0.0006579464680474786,1.152e-05,0.02777765752913496
6,0.0006599054518246441,1.3439999999999998e-05,0.027777568851235206
7,0.0006618644356018097,1.536e-05,0.027777445888312886
8,0.0006638234193789752,1.728e-05,0.027777283502320203
9,0.0006657824031561409,1.92e-05,0.027777076710406596
10,0.0006677413869333066,2.112e-05,0.027776820681555993
11,0.0006697003707104722,2.304e-05,0.027776510733294065
12,0.0006716593544876376,2.496e-05,0.027776142328463788
13,0.0006736183382648032,2.6879999999999997e-05,0.027775711072067676
14,0.000675577322041969,2.88e-05,0.02777521270817505
15,0.0006775363058191344,3.072e-05,0.027774643116892817
16,0.0006794952895963002,3.264e-05,0.02777399831139824
17,0.0006814542733734657,3.456e-05,0.027773274435032275
18,0.0006834132571506314,3.6479999999999996e-05,0.027772467758451994
19,0.0006853722409277968,3.84e-05,0.02777157467684083
20,0.0006873312247049624,4.032e-05,0.02777059170717521
21,0.000689290208482128,4.224e-05,0.027769515485546372
22,0.0006912491922592937,4.416e-05,0.02776834276453606
23,0.0006932081760364592,4.608e-05,0.02776707041064493
24,0.0006951671598136246,4.7999999999999994e-05,0.027765695401772445
25,0.0006971261435907905,4.992e-05,0.027764214824747186
26,0.0006990851273679559,5.184e-05,0.027762625872906375
27,0.0007010441111451217,5.3759999999999994e-05,0.02776092584372362
28,0.0007030030949222874,5.568e-05,0.0277591121364838
29,0.0007049620786994528,5.76e-05,0.02775718225000405
30,0.0007069210624766184,5.952e-05,0.027755133780399923
31,0.000708880046253784,6.144e-05,0.02775296441889568
32,0.0007108390300309494,6.335999999999999e-05,0.02775067194967785
33,0.0007127980138081152,6.528e-05,0.027748254247791124
34,0.0007147569975852806,6.72e-05,0.027745709277075672
35,0.0007167159813624462,6.912e-05,0.027743035088145067
36,0.0007186749651396119,7.104e-05,0.027740229816403946
37,0.0007206339489167774,7.295999999999999e-05,0.0277372916801046
38,0.0007225929326939431,7.488e-05,0.027734218978441704
39,0.0007245519164711088,7.68e-05,0.027731010089684417
40,0.0007265109002482743,7.872e-05,0.027727663469345066
41,0.0007284698840254399,8.064e-05,0.02772417764838372
42,0.0007304288678026054,8.256e-05,0.027720551231447916
43,0.0007323878515797711,8.448e-05,0.027716782895146824
44,0.0007343468353569365,8.64e-05,0.027712871386359212
45,0.0007363058191341023,8.832e-05,0.027708815520574488
46,0.0007382648029112675,9.023999999999999e-05,0.027704614180266224
47,0.0007402237866884332,9.216e-05,0.027700266313297486
48,0.0007421827704655993,9.408e-05,0.02769577093135739
49,0.0007441417542427645,9.599999999999999e-05,0.02769112710842823
50,0.0007461007380199302,9.792e-05,0.027686333979282655
51,0.0007480597217970959,9.984e-05,0.02768139073801024
52,0.0007500187055742613,0.00010175999999999999,0.027676296636572964
53,0.0007519776893514269,0.00010368,0.027671050983388994
54,0.0007539366731285921,0.0001056,0.027665653141944246
55,0.0007558956569057582,0.00010751999999999999,0.027660102529431223
56,0.0007578546406829238,0.00010944,0.027654398615414577
57,0.0007598136244600892,0.00011136,0.027648540920522924
58,0.000761772608237255,0.00011327999999999999,0.027642529015166405
59,0.0007637315920144205,0.0001152,0.027636362518279507
