label,step,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,TV,lyap_E,decision_loss,alpha,beta,D,sensor_fraction,MI,corr
Fixed-clean VIFD,180,34.45664065822019,27.9326473545323,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503126e-16,0.0
Fixed-clean VIFD,185,34.63909818994365,27.958261304880534,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,190,34.82048655032405,27.983865354438592,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.2044145942554663e-16,0.0
Fixed-clean VIFD,195,35.00081837596606,28.009459380484785,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.2039705050456157e-16,0.0
Fixed-clean VIFD,200,35.180106079056344,28.035043262040357,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.2050807280702413e-16,0.0
Fixed-clean VIFD,205,35.35836185273387,28.06061687983791,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.2170711367361926e-16,0.0
Fixed-clean VIFD,210,35.535597676299005,28.086180116291356,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.217515225946043e-16,0.0
Fixed-clean VIFD,215,35.71182532026708,28.111732855467363,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,220,35.887056351272044,28.137274983058056,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,225,36.061302136825354,28.162806386354838,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,230,36.23457384993549,28.18832695422336,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,235,36.40688247359263,28.213836577079352,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.213296378452467e-16,0.0
Fixed-clean VIFD,240,36.578238805123505,28.2393351468654,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503126e-16,0.0
